"id";"photo";"web_name";"team_code";"status";"code";"first_name";"second_name";"squad_number";"news";"now_cost";"chance_of_playing_this_round";"chance_of_playing_next_round";"value_form";"value_season";"cost_change_start";"cost_change_event";"cost_change_start_fall";"cost_change_event_fall";"in_dreamteam";"dreamteam_count";"selected_by_percent";"form";"transfers_out";"transfers_in";"transfers_out_event";"transfers_in_event";"loans_in";"loans_out";"loaned_in";"loaned_out";"total_points";"event_points";"points_per_game";"ep_this";"ep_next";"special";"minutes";"goals_scored";"assists";"clean_sheets";"goals_conceded";"penalties_saved";"penalties_missed";"yellow_cards";"red_cards";"saves";"bonus";"own_goals";"element_type";"team";"dato";"navn";"posisjon";"team_navn"
214;"178458.jpg";"Kebbie";3334;"u";178458;"Elliott";"Kebbie";14;"Terminert kontrakt";41;0;0;"0.0";"2.4";-4;0;4;0;FALSE;0;0,1;"0.0";144;31;0;0;0;0;0;0;10;0;"1.3";"0.0";"0.0";FALSE;314;0;0;0;3;0;0;0;0;0;0;0;2;9;2017-11-16;"Elliott Kebbie";"Forsvar";"SAN"
215;"107421.jpg";"Kristiansen";2997;"a";107421;"Anders";"Kristiansen";21;"";52;NA;NA;"0.5";"18.7";2;0;-2;0;FALSE;1;7,3;"2.7";2671;3965;18;43;0;0;0;0;97;1;"3.5";"3.0";"3.0";FALSE;2520;0;0;8;34;0;0;1;0;70;5;0;1;10;2017-11-16;"Anders Kristiansen";"Keeper";"SO8"
216;"198885.jpg";"Cupic";2997;"a";198885;"Stefan";"Cupic";1;"";46;NA;NA;"0.0";"0.0";-4;0;4;0;FALSE;0;0,3;"0.0";169;22;0;0;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;1;10;2017-11-16;"Stefan Cupic";"Keeper";"SO8"
217;"57338.jpg";"Anders Østli";2997;"a";57338;"Anders";"Østli";20;"";44;NA;NA;"0.1";"9.1";-6;0;6;0;FALSE;1;1,6;"0.3";1480;1331;2;0;0;0;0;0;40;1;"3.3";"0.0";"0.0";FALSE;900;1;1;3;13;0;0;1;0;0;2;0;2;10;2017-11-16;"Anders Østli";"Forsvar";"SO8"
218;"61956.jpg";"Thomassen";2997;"a";61956;"Joachim";"Thomassen";16;"";54;NA;NA;"0.4";"13.1";-1;0;1;0;FALSE;0;2,6;"2.3";1835;966;6;11;0;0;0;0;71;1;"3.0";"2.0";"2.0";FALSE;2078;1;0;7;24;0;0;5;0;0;0;0;2;10;2017-11-16;"Joachim Thomassen";"Forsvar";"SO8"
219;"62004.jpg";"Sundli";2997;"u";62004;"Morten";"Sundli";4;"Skrevet under for Östers";40;0;0;"0.0";"0.0";-5;0;5;0;FALSE;0;0,6;"0.0";654;29;0;0;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;2;10;2017-11-16;"Morten Sundli";"Forsvar";"SO8"
220;"64091.jpg";"Toivomäki";2997;"u";64091;"Henri";"Toivomäki";3;"Ukjent ";41;0;0;"0.0";"2.4";-4;0;4;0;FALSE;0;0,3;"0.0";436;181;0;0;0;0;0;0;10;0;"2.5";"0.0";"0.0";FALSE;219;0;0;1;1;0;0;0;0;0;0;0;2;10;2017-11-16;"Henri Toivomäki";"Forsvar";"SO8"
221;"95601.jpg";"Heiren Hansen";2997;"a";95601;"Ole";"Heiren Hansen";13;"";47;NA;NA;"0.0";"0.0";-3;0;3;0;FALSE;0;0,2;"0.0";113;19;0;0;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;110;0;0;0;6;0;0;1;0;0;0;0;2;10;2017-11-16;"Ole Heiren Hansen";"Forsvar";"SO8"
222;"111807.jpg";"Groven";2997;"a";111807;"Alexander";"Groven";29;"";45;NA;NA;"0.0";"0.2";-5;0;5;0;FALSE;0;0,8;"0.0";928;18;1;0;0;0;0;0;1;0;"0.3";"0.0";"0.0";FALSE;136;0;0;0;9;0;0;1;0;0;0;0;2;10;2017-11-16;"Alexander Groven";"Forsvar";"SO8"
223;"206557.jpg";"Rosted";2997;"a";206557;"Sigurd";"Rosted";15;"";64;NA;NA;"0.6";"17.3";9;1;-9;-1;FALSE;3;26,4;"3.7";10567;21424;40;197;0;0;0;0;109;1;"4.4";"4.0";"4.0";FALSE;2190;4;1;8;26;0;0;3;1;0;17;2;2;10;2017-11-16;"Sigurd Rosted";"Forsvar";"SO8"
