"id";"round_id";"web_name";"status";"news";"chance_of_playing_this_round";"chance_of_playing_next_round";"ep_next";"element_type";"team";"posisjon";"team_navn";"selected_by_percent";"navn"
4;14;"Ramsteijn";"a";"";NA;NA;2;"2";1;"Forsvar";"AAFK";1,3;"Kaj Ramsteijn"
5;14;"Lie";"a";"";NA;NA;1;"2";1;"Forsvar";"AAFK";1,3;"Oddbjørn Lie"
6;14;"Kirkeskov";"a";"";NA;NA;3;"2";1;"Forsvar";"AAFK";2,8;"Mikkel Kirkeskov"
7;14;"Mäntylä";"a";"";NA;NA;0;"2";1;"Forsvar";"AAFK";0,3;"Tero Mäntylä"
8;14;"Arnarson";"a";"";NA;NA;1;"2";1;"Forsvar";"AAFK";1,1;"Adam Arnarson"
9;14;"Grétarsson";"a";"";NA;NA;2;"2";1;"Forsvar";"AAFK";1,8;"Daníel Grétarsson"
10;14;"Barstad";"a";"";NA;NA;0;"2";1;"Forsvar";"AAFK";2,7;"Joakim Barstad"
11;14;"Valderhaug";"a";"";NA;NA;0;"2";1;"Forsvar";"AAFK";0,9;"Lars Valderhaug"
12;14;"Riise";"i";"Ukjent - Sjanse for å spille: 0%";NA;NA;0;"3";1;"Midtbane";"AAFK";3,5;"Bjørn Helge Riise"
13;14;"Carlsen";"a";"";NA;NA;4;"3";1;"Midtbane";"AAFK";3,5;"Fredrik Carlsen"
14;14;"Gyasi";"a";"";NA;NA;6;"3";1;"Midtbane";"AAFK";7,8;"Edwin Gyasi"
15;14;"Thrandarson";"a";"";NA;NA;2;"3";1;"Midtbane";"AAFK";0,6;"Aron Elís Thrandarson"
16;14;"Hoff";"a";"";NA;NA;1;"3";1;"Midtbane";"AAFK";1,7;"Vebjørn Hoff"
17;14;"Brunstad Fet";"a";"";NA;NA;1;"3";1;"Midtbane";"AAFK";0,2;"Sondre Brunstad Fet"
18;14;"Marlinho";"a";"";NA;NA;0;"3";1;"Midtbane";"AAFK";0,4;"Marlon Matheus da Silva"
19;14;"Hatlehol";"a";"";NA;NA;0;"3";1;"Midtbane";"AAFK";0,5;"Jørgen Hatlehol"
20;14;"Waagan";"a";"";NA;NA;0;"3";1;"Midtbane";"AAFK";0,5;"Anders Waagan"
